PREFIXO: ;D4-044
NOME DO POSTO: ;CAMPINAS
MUNICÍPIO: ;CAMPINAS
CURSO D'ÁGUA: ;PIRACICABA,R
LATITUDE: ;22°52'17"
LONGITUDE: ;47°04'39"
 
Obs: valores com --- representam dados inexistentes.
 
Chuva Mensal (mm)
 
Ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
  1998;190,20;194,90;173,60;45,70;111,20;19,50;4,70;14,80;88,20;167,80;54,80;313,10
  1999;428,70;203,00;147,70;42,40;45,90;69,20;0,00;0,00;58,10;42,90;91,50;180,00
  2000;309,20;280,60;144,70;1,50;0,00;6,90;77,30;70,40;88,80;61,30;266,70;230,70
  2001;184,10;335,80;102,70;51,90;88,30;20,40;11,40;30,90;68,20;274,10;101,20;158,70
  2002;219,70;132,90;105,60;20,10;90,90;0,00;4,00;74,50;50,70;47,10;213,60;209,50
  2003;403,70;209,10;80,60;69,60;48,80;10,30;21,30;20,80;17,50;92,00;231,20;295,10
  2004;170,90;175,70;66,00;47,90;117,70;65,20;91,90;0,00;28,60;198,10;118,60;192,50
  2005;450,40;103,80;326,50;31,30;169,20;47,30;5,70;17,90;49,80;198,00;38,20;147,20
  2006;263,80;190,90;229,40;26,80;7,00;20,00;38,50;13,90;66,30;61,60;190,80;---
  2007;440,20;---;200,70;93,30;66,20;97,60;189,80;0,00;8,90;110,70;165,00;163,90
  2008;195,50;248,40;---;179,70;51,30;71,50;0,00;69,50;40,80;112,90;106,60;206,60
  2009;229,10;206,80;63,90;28,90;---;64,80;87,50;56,20;156,80;68,10;285,00;---
  2010;332,70;52,80;217,60;64,00;21,60;23,00;52,20;0,00;59,10;76,60;125,60;203,10
  2011;423,70;148,50;215,60;101,00;43,20;60,00;7,10;39,50;0,00;158,70;290,60;230,80
  2012;312,80;151,50;124,70;244,00;39,00;166,30;34,00;0,00;21,50;107,70;106,00;158,90
  2013;237,20;143,70;150,30;105,10;57,10;95,70;44,50;2,60;32,50;84,00;101,40;114,80
  2014;177,80;11,90;102,90;70,20;26,60;11,40;28,60;18,70;66,60;13,90;177,50;249,20
  2015;214,80;317,00;286,90;28,00;91,40;15,30;33,30;36,50;173,00;86,10;213,80;297,40
  2016;300,90;242,30;268,40;4,00;80,40;208,10;1,20;72,50;19,00;143,30;155,00;136,50
  2017;282,70;110,10;223,60;94,30;171,40;36,60;0,00;34,30;12,50;92,20;217,10;202,70
  2018;238,80;110,30;136,70;87,20;7,30;7,20;1,80;106,70;48,90;136,80;269,10;98,90
  2019;297,10;170,00;102,40;130,90;24,40;15,70;59,50;4,00;38,00;64,90;105,10;152,40
  2020;207,90;228,20;58,50;0,00;9,10;89,90;5,20;54,00;20,60;---;62,20;211,30
  2021;313,00;188,60;101,10;13,70;22,50;26,60;27,00;16,00;6,80;137,60;---;---
  2022;274,70;91,70;113,20;23,50;30,10;26,30;7,10;27,50;---;110,20;---;296,70
  2023;387,90;---;---;---;25,80;42,40;0,00;---;---;---;---;---
  Média:;253,94;189,35;155,51;68,61;58,24;49,98;31,82;31,36;61,92;122,19;145,74;206,97
