"DateTime","Temperatura","Sensação Térmica"
"2025-04-13 02:00:00",18.4,18.5
"2025-04-13 03:00:00",18.1,18.4
"2025-04-13 04:00:00",18,18.2
"2025-04-13 05:00:00",18,18.1
"2025-04-13 06:00:00",18,18
"2025-04-13 07:00:00",18.7,18.8
"2025-04-13 08:00:00",21.2,21.3
"2025-04-13 09:00:00",23.7,23.6
"2025-04-13 10:00:00",25.7,25.6
"2025-04-13 11:00:00",27.8,27.5
"2025-04-13 12:00:00",29,28.4
"2025-04-13 13:00:00",29.8,28.8
"2025-04-13 14:00:00",30,28.9
"2025-04-13 15:00:00",29.7,28.7
"2025-04-13 16:00:00",28.6,28
"2025-04-13 17:00:00",27.1,27
"2025-04-13 18:00:00",24.7,24.2
"2025-04-13 19:00:00",23.1,22.8
"2025-04-13 20:00:00",21.8,21.6
